text,category
in compliance with general and specific regulations ranging from anti-trust to GDPR and cyber-security regulations as well as sector specific regulations.,data protection law
allowing personal data to be used with the help of a personal data sharing intermediary that safeguards data subjects’ rights under the GDPR;,data protection law
With its definition of personal data the GDPR has determined an ample scope: “personal data means any information relating to an identified or identifiable natural person; an identifiable natural person is one who can be identified directly or indirectly in particular by reference to an identifier such as a name an identification number location data on online identifier or to one or more factors specific to the physical physiological genetic mental economic cultural or social identity of that natural person.”,data protection law
Anonymization of personal data can enable a data controller to further process the data without considering the data protection requirements provided that the data is no longer related to an identified or identifiable person.64,data protection law
Please note that pseudonymization of personal data (replacing identifiable personal data by a pseudonym) is reversible and can therefore only be used as an additional security safeguard for the processing.,data protection law
In addition the rise of Big Data and AI has clearly shown that what might appear at a given point in time as anonymous data or other data with no connection or relevance to natural persons may actually turn out to be an element of personal data once it is combined with other identifiers.66,data protection law
Any concept regarding data spaces such as IDS must therefore be prepared to cater for compliance requirements regarding both personal and non-personal data.,data protection law
separately—which may result in different legal basis applying depending on the nature of processing the various data consumers envision.,data protection law
The EU Regulation on the free flow of non-personal data74 has two core objectives: ensuring the free movement of non-personal data across Member State borders i.e. removing data localization requirements between Member States (and preserving availability and access to data for regulatory control purposes)75,data protection law
Accordingly data licensing agreements do not yet follow general common standards that practitioners can “pull off the shelf” such as in the world of software licensing. In any event therefore it is helpful to be aware of the fundamentally different types of contractual,data protection law
Obviously any participant in an IDS-based data exchange must be aware and ensure to take the appropriate measures to act in compliance with applicable laws in particular with mandatory rules of data protection law (GDPR),data protection law
The GDPR applies at any time where data providers share personal data i.e. “any information relating to an identified or identifiable natural person; an identifiable natural person is one who can be identified directly or indirectly in particular by reference to an identifier such as a name an identification number,data protection law
location data an online identifier or to one or more factors specific to the physical physiological genetic mental economic cultural or social identity of that natural person” 91 triggering all the relevant provisions regarding a legal basis92 and its limitations on purpose variation93 and transparency through privacy notices94 ensuring data subjects rights95 documentation requirements96 and breach notifications.97,data protection law
Where personal data breaches occur the data controller(s) will need to assess the risk for the rights and freedoms of the data subjects and if so notify within 72 h the competent data protection authority and in case of significant risks also the data subjects.103,data protection law
GDPR—respectively assess in the first place if and to which extent it is willing and capable to process personal data in light of those requirements or determine that its data contributions and data exchange shall exclude personal data from the outset.,data protection law
This kind of traceability is similar to the data protection requirements a data controller is confronted with so as to be able to fulfill its data subjects’ right to access. It is also closely related to the question of proving compliance with contracts agreements or legal regulations. And data provenance tracking can be used to facilitate clearing in decentralized data ecosystems since it is capable of aggregating information concerning data exchange transactions and data usage.,data protection law
It thereby supports the requirements to be met by the actors within the ecosystem to achieve secure and reliable interoperability as well as desirable behavior regarding the use of data.,data protection law
The Business Layer (see Chapter 3.1) facilitates the development and use of new digital business models to be applied by the Participants in the International Data Spaces. It also specifies the roles within the IDS. Thereby it is directly related to the Governance Perspective by considering the business point of view regarding data ownership data provision and data consumption and by describing core service concepts such as data brokerage.,data protection law
GDPR compliance in the relation between the platform operator and the data provider/data consumer and between the data,data protection law
such as data extraction for private purposes teaching and scientific research as well as extraction and/or re-utilization for public security or administrative or court procedures.,asset
It is rather the data provider who intentionally enables the data consumer (or a variety of them) and other participants in the ecosystem to derive and/or generate each individually new and different information and value from using the data.,asset
In contrast to the general communication capabilities described above the Message concept describes the content payload being exchanged at runtime between Connectors. Message metadata provides traceable evidence of the communication,asset
communication (e.g. addresses transaction ID) and allows interpretation of the context (i.e. type of content usage contract) within which an Instance of a Resource’s digital content is mediated.,asset
Thus the Message metadata may either complement interactions of legacy application protocols or may be used independently as a foundation for modeling the exchange of the Resource in a generic technology-agnostic manner. In the latter case each state of the interaction is mapped onto an instance of an appropriate Message type,asset
Action attributes describing the intended action (e.g. read write or delete);,asset
Alongside with operations on Assets (e.g. copy print convert) an Action may comprise general obligations (e.g. pay attribute) or modify the interpretation of the policy (e.g. ensure exclusiveness)36.,asset
“Publishing” defines which Data Flows or Data Services are provided to external participants. This information is submitted to a Broker.,asset
For “Accounting” of a data exchange transaction between participants it is necessary to record additional information such as contract specifications pricing models or billing details.,asset
The action describes what the subject wants to do with the data asset (e.g. read write).,asset
The environment specifies the context of the action (e.g. time location).,asset
The International Data Spaces offers a platform for organizations to offer and exchange data and digital services.,asset
The Commodity concern helps assess the value and utility of a Resource as an obtainable asset with regard to a client’s needs.,asset
Does the Resource origin from a reliable source?,asset
What level of quality does the Resource have?,asset
Provenance explicates the context of the Resource’s creation and its history of modification. The Quality of a Resource’s content and provisioning services may be assessed by means of tests quality of service (QoS) parameters and ratings from previous users in the community.,asset
Resource (or object) attributes describing the resource itself (e.g. object type location or classification);,asset
It is indisputable that data has a value and that data management generates costs. Today data is traded in the market like a commodity; it has a price and many companies monitor the costs incurred for data management. However data being an intangible good differs from tangible goods with regard to a number of properties among which the fact that data is non-rival is considered the most important one.,asset
Depending on what type data is of or what category it can be subsumed under the value it contributes to the development of innovative products and services can vary. Therefore the need for protection of data is not the same across all data types and data categories. Public data for example which can be accessed by anyone requires a lower level of protection than private data or club data.,asset
ASSET An Asset is the subject of a Rule a Resource or a collection of Resources. Depending on the Policy’s specifications (e.g. do not redistribute) the Asset’s content needs to be identified in a persistent and unambiguous manner in order to be effectively enforceable independently of the provisioning type (e.g. download URL) or storage context (Data Provider or Data Consumer) (for example by an identifier composed of indicators such as artifact name and hash sum).,asset
Pricing models applied to Resources exchanged in the International Data Spaces may vary.,asset
Connectors may expose an arbitrary number of Resources that provide or consume digital content. The Catalog comprises a metadata model of those Resources constructed in accordance with the IDS Ontology. Optionally the Catalog or individual sets of Resource metadata may be advertised via intermediary nodes,asset
The Content concern deals with the description of a Resource’s inherent substance i.e. its “content” available in any machine-interpretable binary format.,asset
The Commodity concern helps to assess the value and utility of a Resource.,asset
“Metadata” describes the data types for input and output used by different Connector components (see chapter 3.4.5 - App Interfaces). Data Services can provide metadata descriptions which can be imported to the Configuration Model. This information is used to configure the Data Flow.,asset
As data can be decoupled from specific hardware and software implementations it turns into an independent economic good. While this opens up new opportunities it creates challenges as well. To ensure competitiveness of organizations a solution is required that facilitates new digital business models.,asset
The resource describes the data asset.,asset
In general attributes can describe anything or anyone. Nevertheless they can be divided into four major categories:,asset
Subject attributes describing the user by e.g. their age role or clearance;,asset
Context (or environment) attributes addressing time location or other dynamic aspects.,asset
Because of the correlation between good data quality and maximizing the value of data as an economic good the International Data Spaces explicitly addresses the aspect of data quality.,asset
As perishable goods were exposed to improper ambient temperatures the company ordering the goods refuses acceptance. The temperature data thereby becomes a shared data asset that can be stored in a shared environment which acts as a trusted record keeper of such quality data.,asset
Several companies want to share their capabilities in order to produce a certain type of good. In this case the capability of each company becomes a shared data asset to be stored in shared ‘yellow pages’ accessible for all participants in the ecosystem.,asset
but not the data as such.8,asset
giving any contributor of data the opportunity to manage and maintain control over the data that it puts at the disposal of others.,data sovereignty
select and limit the type of metadata that he/she shares with the service provider and certain intermediaries.,data sovereignty
